DATE,YEAR,APPREHENSIONS
Oct-99,1999,91410
Nov-99,1999,76196
Dec-99,1999,71252
Jan-00,2000,185979
Feb-00,2000,211328
Mar-00,2000,220063
Apr-00,2000,180050
May-00,2000,166296
Jun-00,2000,115093
Jul-00,2000,113956
Aug-00,2000,114321
Sep-00,2000,97744
Oct-00,2000,82632
Nov-00,2000,67709
Dec-00,2000,55081
Jan-01,2001,125090
Feb-01,2001,152229
Mar-01,2001,170580
Apr-01,2001,142813
May-01,2001,122927
Jun-01,2001,89131
Jul-01,2001,83602
Aug-01,2001,84648
Sep-01,2001,59276
Oct-01,2001,37812
Nov-01,2001,32506
Dec-01,2001,31501
Jan-02,2002,79793
Feb-02,2002,95724
Mar-02,2002,126992
Apr-02,2002,121921
May-02,2002,97424
Jun-02,2002,78655
Jul-02,2002,76661
Aug-02,2002,82557
Sep-02,2002,68263
Oct-02,2002,61792
Nov-02,2002,47731
Dec-02,2002,37824
Jan-03,2003,86925
Feb-03,2003,96869
Mar-03,2003,98399
Apr-03,2003,75359
May-03,2003,88690
Jun-03,2003,75530
Jul-03,2003,79284
Aug-03,2003,84486
Sep-03,2003,72176
Oct-03,2003,65391
Nov-03,2003,57894
Dec-03,2003,43614
Jan-04,2004,92521
Feb-04,2004,110669
Mar-04,2004,154981
Apr-04,2004,135468
May-04,2004,118726
Jun-04,2004,94590
Jul-04,2004,92165
Aug-04,2004,93246
Sep-04,2004,80017
Oct-04,2004,75913
Nov-04,2004,65135
Dec-04,2004,48406
Jan-05,2005,93020
Feb-05,2005,113775
Mar-05,2005,143048
Apr-05,2005,140062
May-05,2005,115823
Jun-05,2005,90786
Jul-05,2005,94954
Aug-05,2005,96733
Sep-05,2005,93741
Oct-05,2005,83557
Nov-05,2005,70975
Dec-05,2005,52673
Jan-06,2006,101195
Feb-06,2006,125046
Mar-06,2006,160696
Apr-06,2006,126538
May-06,2006,105450
Jun-06,2006,68366
Jul-06,2006,59641
Aug-06,2006,59751
Sep-06,2006,58084
Oct-06,2006,60713
Nov-06,2006,51594
Dec-06,2006,40527
Jan-07,2007,71934
Feb-07,2007,79268
Mar-07,2007,114137
Apr-07,2007,104465
May-07,2007,88504
Jun-07,2007,71338
Jul-07,2007,66782
Aug-07,2007,59795
Sep-07,2007,49581
Oct-07,2007,51339
Nov-07,2007,42209
Dec-07,2007,31802
Jan-08,2008,59028
Feb-08,2008,73483
Mar-08,2008,89770
Apr-08,2008,91566
May-08,2008,69223
Jun-08,2008,53854
Jul-08,2008,49472
Aug-08,2008,48541
Sep-08,2008,44708
Oct-08,2008,42938
Nov-08,2008,32780
Dec-08,2009,25941
Jan-09,2009,44502
Feb-09,2009,49211
Mar-09,2009,97342
Apr-09,2009,58493
May-09,2009,50884
Jun-09,2009,46044
Jul-09,2009,43843
Aug-09,2009,43552
Sep-09,2009,35359
Oct-09,2009,40890
Nov-09,2009,32815
Dec-09,2009,25034
Jan-10,2010,34784
Feb-10,2010,42790
Mar-10,2010,61361
Apr-10,2010,55237
May-10,2010,47045
Jun-10,2010,32995
Jul-10,2010,25609
Aug-10,2010,26415
Sep-10,2010,22796
Oct-10,2010,26165
Nov-10,2010,22405
Dec-10,2010,19429
Jan-11,2011,23926
Feb-11,2011,28786
Mar-11,2011,42014
Apr-11,2011,36251
May-11,2011,31236
Jun-11,2011,27166
Jul-11,2011,23170
Aug-11,2011,24166
Sep-11,2011,22863
Oct-11,2011,25612
Nov-11,2011,23368
Dec-11,2011,18983
Jan-12,2012,25714
Feb-12,2012,31579
Mar-12,2012,42218
Apr-12,2012,40628
May-12,2012,36966
Jun-12,2012,30669
Jul-12,2012,26978
Aug-12,2012,27567
Sep-12,2012,26591
Oct-12,2012,28929
Nov-12,2012,27636
Dec-12,2012,23243
Jan-13,2013,26921
Feb-13,2013,35042
Mar-13,2013,47293
Apr-13,2013,48212
May-13,2013,43856
Jun-13,2013,34436
Jul-13,2013,33230
Aug-13,2013,33797
Sep-13,2013,31802
Oct-13,2013,35312
Nov-13,2013,31896
Dec-13,2013,29528
Jan-14,2014,28668
Feb-14,2014,36403
Mar-14,2014,49596
Apr-14,2014,51502
May-14,2014,60683
Jun-14,2014,57862
Jul-14,2014,40708
Aug-14,2014,31388
Sep-14,2014,25825
Oct-14,2014,26450
Nov-14,2014,24641
Dec-14,2014,25019
Jan-15,2015,21514
Feb-15,2015,24376
Mar-15,2015,29791
Apr-15,2015,29750
May-15,2015,31576
Jun-15,2015,29303
Jul-15,2015,28388
Aug-15,2015,30239
Sep-15,2015,30286
Oct-15,2015,32724
Nov-15,2015,32838
Dec-15,2015,37014
Jan-16,2016,23758
Feb-16,2016,26072
Mar-16,2016,33316
Apr-16,2016,38089
May-16,2016,40337
Jun-16,2016,34450
Jul-16,2016,33723
Aug-16,2016,37048
Sep-16,2016,39501
Oct-16,2016,46184
Nov-16,2016,47211
Dec-16,2016,43251
Jan-17,2017,31576
Feb-17,2017,18754
Mar-17,2017,12195
Apr-17,2017,11127
May-17,2017,14519
Jun-17,2017,16087
Jul-17,2017,18187
Aug-17,2017,22288
Sep-17,2017,22537
Oct-17,2017,25488
Nov-17,2017,29085
Dec-17,2017,28995
Jan-18,2018,25975
Feb-18,2018,26666
Mar-18,2018,37390
Apr-18,2018,38243
May-18,2018,40339
Jun-18,2018,34089
Jul-18,2018,31299
Aug-18,2018,37524
Sep-18,2018,41486
Oct-18,2018,51006
Nov-18,2018,51855
Dec-18,2018,50751
Jan-19,2019,47984
Feb-19,2019,66884
Mar-19,2019,92607
 , ,
